Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
"Aaron, Roger",SUGR,32,CF,ML,1136,0.32200000000000001,0.38400000000000001,0.46899999999999997,4035,1300,265,27,91,651,569,407,427,59,36,177,8
"Aarons, Mal",DAY,27,1B,ML,646,0.26500000000000001,0.32400000000000001,0.49199999999999999,2415,640,65,12,153,392,419,210,667,2,2,65,2
"Acedo, George",AUCK,33,RF,ML,926,0.24399999999999999,0.30399999999999999,0.45700000000000002,3047,742,140,16,160,422,478,265,734,1,12,98,6
"Adams, Alvin",ERIE,28,1B,ML,654,0.29899999999999999,0.34399999999999997,0.45700000000000002,2705,810,141,34,72,431,304,185,413,1,7,97,4
"Ahmed, Lucas",RICH,27,2B,ML,78,0.22700000000000001,0.29199999999999998,0.34799999999999998,141,32,9,1,2,15,11,13,25,0,0,5,0
"Alaniz, Robert",IDA,28,2B,ML,274,0.32500000000000001,0.36199999999999999,0.46100000000000002,989,321,54,6,23,146,140,58,128,1,3,41,3
"Allen, Barry",AUCK,29,1B,ML,821,0.32400000000000001,0.373,0.39900000000000002,3270,1061,106,33,24,487,327,252,253,6,7,91,6
"Allen, Zan",OMA,28,CF,ML,653,0.34599999999999997,0.46899999999999997,0.66900000000000004,2322,804,165,7,190,547,530,537,347,3,13,51,4
"Aly, Bryant",SF,33,LF,ML,196,0.30499999999999999,0.34,0.41699999999999998,580,177,17,3,14,81,67,31,95,0,1,9,1
"Ames, Charlie",ROCK,32,SS,ML,1043,0.246,0.312,0.44900000000000001,3802,937,191,20,180,532,611,364,1020,31,25,103,3
"Anderson, Arnold",RICH,26,3B,ML,210,0.308,0.33800000000000002,0.45900000000000002,801,247,45,2,24,123,106,36,113,10,8,30,1
"Anderson, Rich",WISC,30,RF,ML,728,0.316,0.36099999999999999,0.45300000000000001,2036,644,166,2,36,285,246,143,199,8,4,73,1
"Angelo, Ed",DAY,26,1B,ML,192,0.25600000000000001,0.32700000000000001,0.375,371,95,18,1,8,53,46,39,52,0,0,12,0
"Arrowsmith, Rich",IDA,32,1B,ML,786,0.27400000000000002,0.315,0.432,2965,812,165,7,97,353,462,177,470,0,5,134,5
"Ashley, Gilbert",ROCK,30,C,ML,780,0.25600000000000001,0.36099999999999999,0.40100000000000002,2318,594,89,11,75,340,304,380,403,3,9,96,7
"Au, Larry",IDA,27,3B,ML,217,0.29799999999999999,0.32900000000000001,0.45,822,245,39,4,26,129,108,38,84,0,0,33,0
"Austin, Ed",LV,32,C,ML,489,0.247,0.32200000000000001,0.46700000000000003,1593,394,56,3,96,269,252,175,418,4,2,38,2
"Avans, Jeremy",OMA,32,2B,ML,944,0.28599999999999998,0.36899999999999999,0.40899999999999997,3419,977,189,36,54,543,376,448,253,29,16,125,8
"Averhart, Joseph",PEOR,25,CF,ML,38,0.17,0.214,0.245,53,9,1,0,1,5,6,3,6,0,3,5,0
"Bachman, Randy",MAIN,31,C,ML,846,0.27400000000000002,0.33500000000000002,0.47,2403,658,94,9,120,367,393,222,410,2,3,74,3
"Badman, Tracy",LV,39,SS,ML,1925,0.25800000000000001,0.35899999999999999,0.5,6587,1701,249,16,438,1175,1201,1034,1373,82,48,182,5
"Baker, Rube",ALTO,37,C,ML,1993,0.30299999999999999,0.35299999999999998,0.377,7075,2147,407,25,21,964,782,537,523,3,12,285,11
"Barnes, Clifford",RICH,27,1B,ML,83,0.23699999999999999,0.26400000000000001,0.40300000000000002,186,44,5,4,6,27,27,7,42,3,3,6,0
"Bartley, Alton",SCRN,24,1B,ML,21,0.26,0.35699999999999998,0.38400000000000001,73,19,0,0,3,11,6,11,12,0,0,3,0
"Barton, Mathew",ELP,30,CF,ML,771,0.28799999999999998,0.35899999999999999,0.41,2932,843,105,19,72,398,361,329,460,4,15,108,10
"Bazemore, Bob",LV,37,LF,ML,2164,0.29499999999999998,0.374,0.56999999999999995,8279,2444,577,28,548,1574,1551,1035,1577,7,17,229,15
"Because, Justin",ROCK,23,LF,ML,143,0.31,0.38700000000000001,0.40600000000000003,564,175,21,0,11,85,90,71,63,19,18,10,2
"Beckstrand, Mike",SCRN,31,1B,ML,941,0.29099999999999998,0.33300000000000002,0.438,3574,1039,205,18,95,457,498,228,277,0,6,139,6
"Beeks, Harry",BANG,31,C,ML,934,0.314,0.376,0.42899999999999999,3458,1085,147,32,63,488,458,343,474,5,7,119,6
"Beers, Scott",MAHO,27,CF,ML,686,0.30599999999999999,0.36099999999999999,0.54800000000000004,2733,836,175,23,147,462,456,235,580,0,3,82,3
"Belcher, Gene",LV,32,1B,ML,1105,0.30199999999999999,0.34599999999999997,0.49099999999999999,4298,1300,285,21,161,666,720,289,734,33,16,129,4
"Benites, Deni",BANG,22,CF,ML,25,0.24199999999999999,0.29899999999999999,0.40400000000000003,99,24,4,0,4,13,14,8,19,0,0,4,0
"Bennett, Thomas",PEOR,25,SS,ML,304,0.29499999999999998,0.34200000000000003,0.442,1119,330,64,10,27,145,154,80,238,1,6,53,6
"Berkshire, Gary",LAKE,24,1B,ML,69,0.26,0.33300000000000002,0.375,200,52,10,2,3,33,17,22,21,0,2,9,2
"Bert, Qarl",BANG,27,C,ML,119,0.26700000000000002,0.3,0.41899999999999998,236,63,17,2,5,31,38,11,56,0,1,11,1
"Bessette, Joe",PORT,31,RF,ML,830,0.29699999999999999,0.34599999999999997,0.45600000000000002,3085,917,145,14,106,424,440,232,482,82,71,117,7
"Bezak, Willie",LAKE,28,2B,ML,207,0.27400000000000002,0.313,0.42599999999999999,620,170,39,2,17,82,83,35,67,1,3,18,3
"Bindrup, Joe",NORW,27,SS,ML,406,0.29599999999999999,0.34799999999999998,0.47599999999999998,1105,327,60,5,43,168,171,89,152,21,14,44,2
"Black, Duane",ALTO,27,LF,ML,330,0.33200000000000002,0.35799999999999998,0.46700000000000003,1367,454,71,12,30,186,238,55,121,69,28,55,6
"Blair, Jerry",MAIN,32,RF,ML,959,0.316,0.36599999999999999,0.48599999999999999,3698,1168,218,25,120,574,604,295,515,70,48,145,4
"Bloodworth, Regan",FRIS,30,CF,ML,813,0.29399999999999998,0.33600000000000002,0.376,3029,892,168,13,18,384,301,187,188,180,89,61,7
"Blue, Dawson",MIDL,24,3B,ML,25,0.30599999999999999,0.376,0.42899999999999999,98,30,2,2,2,16,13,11,18,11,2,2,0
"Boettger, Calvin",WISC,26,LF,ML,198,0.309,0.33900000000000002,0.53200000000000003,760,235,59,4,34,129,134,34,104,0,1,25,0
"Bonilla, Bobby",CHES,26,RF,ML,26,0.29299999999999998,0.32700000000000001,0.45500000000000002,99,29,4,0,4,12,15,5,14,0,0,2,0
"Bothan, Beefy",AUCK,24,C,ML,170,0.28599999999999998,0.32700000000000001,0.42199999999999999,623,178,27,2,18,92,84,38,110,0,2,19,0
"Bothans, Manny",NORW,24,C,ML,24,0.22500000000000001,0.32400000000000001,0.40400000000000003,89,20,7,0,3,15,14,13,25,1,0,0,0
"Boyd, Earl",AUCK,34,LF,ML,1510,0.29299999999999998,0.39700000000000002,0.441,5143,1508,285,22,143,903,784,881,731,14,18,182,11
"Brattain, Julius",PEOR,25,LF,ML,191,0.30599999999999999,0.35499999999999998,0.38700000000000001,671,205,25,0,10,79,69,51,88,26,16,36,2
"Bride, Jose",CHES,31,LF,ML,1236,0.32,0.38,0.57199999999999995,4849,1550,230,26,314,867,993,471,832,0,7,155,7
"Brittain, Darryl",LOUI,26,1B,ML,343,0.28199999999999997,0.34499999999999997,0.51400000000000001,1321,372,43,3,86,205,230,127,310,0,3,34,3
"Brock, John",LV,25,CF,ML,321,0.30199999999999999,0.34799999999999998,0.48899999999999999,1189,359,90,15,34,160,174,84,147,2,4,41,3
"Brosnahan, Louis",LAKE,34,LF,ML,1179,0.307,0.379,0.46600000000000003,4081,1252,208,26,130,651,654,477,663,6,17,118,15
"Brown, Ed",ROME,31,LF,ML,315,0.24399999999999999,0.307,0.42799999999999999,675,165,28,0,32,96,95,61,117,4,5,29,1
"Brown, Sol",ELP,31,3B,ML,839,0.28000000000000003,0.34699999999999998,0.49,3042,852,139,12,159,494,492,314,421,0,2,95,2
"Bult, Warren",PORT,26,SS,ML,60,0.193,0.22,0.21099999999999999,57,11,1,0,0,13,6,2,4,10,1,0,0
"Burgess, Mike",OMA,28,1B,ML,10,0,0.33300000000000002,0,4,0,0,0,0,0,1,2,2,0,0,0,0
"Burk, Roderick",SUGR,30,RF,ML,260,0.27,0.311,0.443,866,234,30,9,34,127,126,51,116,1,2,35,2
"Burns, Ed",PORT,29,SS,ML,950,0.314,0.39700000000000002,0.45900000000000002,3657,1147,181,28,98,647,474,504,420,10,12,148,9
"Busch, Bullet Joe",MAIN,35,SS,ML,1591,0.26800000000000002,0.33500000000000002,0.46200000000000002,6137,1644,245,24,300,948,978,622,1297,180,112,225,7
"Bush, Jeffrey",ALTO,27,LF,ML,195,0.28399999999999997,0.33800000000000002,0.442,303,86,22,4,6,45,52,25,35,3,3,11,0
"Byrd, Cedric",RICH,33,1B,ML,1061,0.29099999999999998,0.33900000000000002,0.45300000000000001,3959,1153,190,8,145,585,591,286,504,1,8,188,6
"Caesar, Julius",AUCK,25,CF,ML,179,0.27500000000000002,0.34399999999999997,0.45600000000000002,669,184,17,4,32,127,100,70,158,9,11,23,0
"Canada, Kendall",TEX,35,2B,ML,1727,0.33200000000000002,0.36599999999999999,0.40500000000000003,7576,2518,375,47,26,1087,687,406,462,21,29,291,4
"Carrillo, Gary",BANG,27,3B,ML,161,0.25,0.27600000000000002,0.45,280,70,14,0,14,40,41,10,39,3,6,11,1
"Carson, Douglas",ALTO,30,1B,ML,936,0.28599999999999998,0.33500000000000002,0.442,3436,984,173,21,107,515,471,252,396,2,9,158,6
"Carvalho, Jim",LOUI,27,SS,ML,373,0.23499999999999999,0.318,0.47099999999999997,875,206,33,1,57,129,148,106,252,0,0,24,0
"Cerecedes, Damon",ROCK,27,RF,ML,600,0.28100000000000003,0.34300000000000003,0.47399999999999998,2158,606,79,16,102,299,308,205,378,0,1,89,1
"Chan, Clifford",LOUI,25,C,ML,57,0.308,0.377,0.47599999999999998,208,64,11,0,8,35,30,23,46,1,0,3,0
"Chester, Boyd",MAHO,28,CF,ML,498,0.34799999999999998,0.39700000000000002,0.49099999999999999,2077,722,129,5,53,316,302,171,259,0,5,82,4
"Chitwood, Kenneth",TEX,36,C,ML,1371,0.317,0.36199999999999999,0.42199999999999999,4277,1355,277,38,32,605,560,301,258,67,49,153,6
"Clark, Ronnie",RICH,27,C,ML,454,0.29499999999999998,0.33300000000000002,0.46100000000000002,1301,384,82,1,44,188,170,74,246,1,0,48,0
"Cohenour, Jeffrey",EDMO,27,SS,ML,588,0.29899999999999999,0.36499999999999999,0.35399999999999998,1920,575,54,7,12,301,217,198,177,180,71,33,4
"Cole, Zach",TEX,33,RF,ML,1213,0.29799999999999999,0.33900000000000002,0.48299999999999998,4824,1436,314,21,179,712,670,303,665,3,10,163,8
"Colter, Toots",MAHO,31,SS,ML,429,0.34599999999999997,0.36699999999999999,0.38100000000000001,1386,479,21,8,4,177,161,47,57,2,4,28,2
"Cort, Eric",TEX,33,C,ML,1309,0.312,0.34,0.42699999999999999,5123,1598,291,46,68,657,622,220,412,2,17,262,9
"Creel, John",AUCK,30,SS,ML,794,0.30499999999999999,0.371,0.38500000000000001,2793,851,147,6,22,398,320,293,314,4,11,83,6
"Crisp, Reuben (65)",ELP,26,SS,DL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Da Souza, Harry",MAIN,26,LF,ML,179,0.27700000000000002,0.33500000000000002,0.49199999999999999,693,192,34,2,37,106,137,60,96,30,17,20,1
"Darensbourg, Chad",EDMO,29,2B,ML,824,0.28899999999999998,0.35099999999999998,0.34100000000000003,3126,904,47,28,20,441,361,299,255,350,106,48,7
"Darnley, Joe",WISC,33,SS,ML,666,0.30299999999999999,0.35799999999999998,0.39300000000000002,2294,694,112,10,25,311,244,198,248,1,5,104,3
"Deacon, Delbert",SUGR,26,LF,ML,420,0.30199999999999999,0.35299999999999998,0.46500000000000002,1640,495,130,1,45,243,243,130,206,14,8,65,0
"Delacruz, Barry",SF,31,RF,ML,1052,0.29199999999999998,0.36099999999999999,0.50900000000000001,4143,1209,229,35,200,762,627,446,760,11,9,157,6
"Depass, Mark",PORT,25,1B,ML,24,0.318,0.36299999999999999,0.48199999999999998,85,27,5,0,3,12,11,6,23,0,0,2,0
"Disbrow, Dennis",MIDL,26,C,ML,211,0.30599999999999999,0.376,0.40100000000000002,337,103,14,3,4,49,44,38,28,1,1,11,0
"Do-Right, Studley",PORT,22,RF,ML,24,0.32600000000000001,0.38500000000000001,0.621,95,31,7,0,7,13,26,9,8,1,1,4,0
"Doe, John",ROME,26,LF,ML,262,0.29499999999999998,0.33900000000000002,0.40899999999999997,682,201,33,3,13,91,83,46,79,26,11,28,0
"Dombkowski, Marshall",WISC,29,RF,ML,800,0.32200000000000001,0.39400000000000002,0.49,3022,972,161,6,112,467,477,361,412,1,9,123,5
"Dowless, Robbie",ROME,25,SS,ML,26,0.27700000000000002,0.31,0.42199999999999999,83,23,7,1,1,7,10,4,20,0,0,4,0
"Drake, Eli",ROCK,24,SS,ML,176,0.26,0.35699999999999998,0.41399999999999998,677,176,27,1,25,104,100,102,111,1,1,17,0
"Drake, Nathaniel",ERIE,27,2B,ML,152,0.28899999999999998,0.33900000000000002,0.45600000000000002,463,134,30,1,15,64,77,35,85,1,1,13,1
"Dudding, Joshua",OKC,33,CF,ML,181,0.28699999999999998,0.317,0.38900000000000001,471,135,21,0,9,64,44,21,59,0,0,25,0
"During, Juan",PORT,31,CF,ML,956,0.27200000000000002,0.33800000000000002,0.40600000000000003,3503,952,198,10,84,559,408,352,625,272,81,112,2
"Duryee, Marv",EDMO,30,1B,ML,388,0.29199999999999998,0.34399999999999997,0.495,1139,333,37,1,64,170,217,89,165,28,19,49,0
"Echeverri, Chris",LOUI,24,LF,ML,130,0.29599999999999999,0.38,0.496,514,152,25,3,24,100,62,70,75,13,3,18,2
"Edie, Mikey",IDA,33,CF,ML,1395,0.28599999999999998,0.34399999999999997,0.41899999999999998,5642,1611,206,23,167,894,673,504,714,230,93,186,7
"Edwards, Tallen",MIDL,28,C,ML,622,0.26700000000000002,0.314,0.371,2090,557,96,9,35,263,213,144,351,109,67,57,3
"Eggleston, Angel",ROME,28,1B,ML,287,0.28599999999999998,0.36199999999999999,0.36699999999999999,989,283,49,2,9,142,127,117,89,2,6,50,3
"Elwood, John",BANG,29,CF,ML,110,0.30399999999999999,0.35699999999999998,0.44800000000000001,326,99,20,0,9,48,47,27,60,0,0,10,0
"Ernstes, Arnold",PEOR,27,LF,ML,300,0.309,0.35199999999999998,0.45800000000000002,1089,336,41,10,34,167,163,73,99,18,6,38,0
"Essman, Cody",EDMO,26,LF,ML,45,0.214,0.26,0.35699999999999998,98,21,8,0,2,7,13,6,11,0,0,7,0
"Eveland, Matthew",ERIE,32,CF,ML,1088,0.26600000000000001,0.33800000000000002,0.40400000000000003,2908,774,121,8,88,474,392,314,534,152,101,100,7
"Fackler, Matthew",SUGR,26,2B,ML,297,0.32,0.371,0.46700000000000003,1031,330,73,6,22,154,154,84,109,0,1,42,1
"Farmer, Hayden",IDA,26,CF,ML,388,0.26800000000000002,0.312,0.46800000000000003,1262,338,45,2,68,180,221,81,240,19,13,62,2
"Felino, Gino",LV,25,1B,ML,486,0.31900000000000001,0.36399999999999999,0.49099999999999999,1755,560,141,7,49,263,231,125,240,7,7,56,3
"Feoli, Mark",CHES,27,1B,ML,94,0.20300000000000001,0.252,0.313,316,64,11,0,8,25,30,21,70,2,2,7,2
"Fernandez, Paul",LOUI,27,LF,ML,201,0.28299999999999997,0.32,0.503,587,166,38,2,29,73,79,32,115,0,1,18,1
"Fillmore, Joe",SCRN,26,C,ML,5,0.154,0.214,0.23100000000000001,13,2,1,0,0,1,0,1,1,0,0,2,0
"Fleece, Jason",OKC,25,LF,ML,331,0.28699999999999998,0.34399999999999997,0.43099999999999999,1188,341,61,7,32,186,157,103,210,2,4,47,3
"Flynn, Joe",SF,29,SS,ML,735,0.3,0.35,0.50800000000000001,3093,928,184,36,129,544,456,239,481,5,5,95,3
"Foreman, Red",MAIN,38,3B,ML,2422,0.27900000000000003,0.34499999999999997,0.51600000000000001,9128,2544,512,39,525,1473,1680,930,1828,94,76,317,15
"Forseth, John",WISC,32,C,ML,1226,0.30299999999999999,0.33500000000000002,0.44600000000000001,4439,1343,219,16,129,635,639,216,407,188,85,162,3
"Foster, Timmy",MAHO,34,3B,ML,755,0.26900000000000002,0.32500000000000001,0.48499999999999999,2911,784,140,20,149,442,483,240,498,0,5,106,4
"Fox, Kerry",PEOR,26,LF,ML,39,0.312,0.32100000000000001,0.52900000000000003,138,43,5,2,7,21,20,2,22,0,0,11,0
"Fox, Sophocles",ELP,36,RF,ML,2032,0.316,0.39200000000000002,0.56599999999999995,7721,2438,452,33,472,1405,1615,965,900,4,22,294,17
"Frack, Teddy",LV,23,CF,ML,9,0.214,0.214,0.214,14,3,0,0,0,0,0,0,2,0,0,0,0
"Franklin, Bill",MAHO,34,SS,ML,1121,0.27100000000000002,0.32800000000000001,0.34599999999999997,3480,944,137,9,35,418,377,293,512,87,36,120,2
"Fremont, Michael",SUGR,34,2B,ML,1177,0.28699999999999998,0.33500000000000002,0.48099999999999998,3834,1100,211,24,162,605,696,275,463,55,38,133,3
"Froman, Abe",CASP,28,LF,ML,575,0.27800000000000002,0.33800000000000002,0.43099999999999999,2081,578,109,12,62,287,305,188,215,5,5,58,2
"Fuhriman, Dallas",OKC,27,RF,ML,606,0.32,0.373,0.54,2402,768,124,12,127,398,449,202,434,8,7,85,5
"Fung, Ben",MIDL,32,3B,ML,717,0.28299999999999997,0.34,0.39900000000000002,2204,623,125,18,32,296,293,191,398,13,8,52,2
"Funk, Flash",ROCK,26,CF,ML,604,0.29499999999999998,0.34399999999999997,0.36499999999999999,2545,751,117,18,8,373,188,191,167,249,64,71,2
"Furniss, Darrell",OMA,27,3B,ML,173,0.27900000000000003,0.34200000000000003,0.41599999999999998,627,175,34,5,14,97,75,60,94,0,1,27,1
"Gabourel, Buck",SCRN,31,2B,ML,394,0.26800000000000002,0.33100000000000002,0.33400000000000002,1245,334,42,2,12,146,136,116,134,1,0,57,0
"Gajewski, Kenny",MIDL,36,1B,ML,1881,0.26700000000000002,0.34899999999999998,0.52,6925,1846,399,19,440,1149,1264,878,1247,5,15,183,12
"Garcia, Bill",ALTO,27,1B,ML,148,0.36199999999999999,0.41099999999999998,0.51900000000000002,389,141,35,4,6,72,60,32,34,0,0,15,0
"Garcia, Brandon",SCRN,27,SS,ML,26,0.189,0.28000000000000003,0.28399999999999997,95,18,0,0,3,10,9,12,22,0,0,2,0
"Garron, Michael",MAHO,26,CF,ML,92,0.30599999999999999,0.35299999999999998,0.379,356,109,15,1,3,49,35,26,38,0,1,9,1
"Gaston, Willie",EDMO,30,RF,ML,917,0.28100000000000003,0.318,0.36499999999999999,3589,1009,156,47,17,513,425,192,533,266,118,105,5
"Gecko, Seth",CASP,30,3B,ML,870,0.29599999999999999,0.35299999999999998,0.433,3385,1002,161,16,90,473,459,297,280,2,8,182,7
"Gentry, Mike",ROME,26,LF,ML,86,0.28000000000000003,0.33800000000000002,0.45900000000000002,218,61,16,1,7,37,38,19,39,6,3,8,0
"Godwin, Karl",MIDL,25,2B,ML,179,0.25,0.28100000000000003,0.379,617,154,39,1,13,77,89,27,58,0,0,27,0
"Gonzalez, Dan",PEOR,28,3B,ML,590,0.31,0.34699999999999998,0.47599999999999998,2332,724,150,16,68,328,349,131,285,5,5,115,3
"Greene, Louis",CHES,29,C,ML,274,0.27200000000000002,0.32200000000000001,0.372,312,85,18,5,1,38,37,23,64,0,2,8,0
"Grizzell, Curtis",RICH,31,LF,ML,517,0.30299999999999999,0.34899999999999998,0.51100000000000001,1876,568,102,5,93,303,319,133,271,10,8,55,1
"Gucman, Shaun",LV,34,SS,ML,1144,0.30499999999999999,0.35399999999999998,0.44,4305,1314,327,23,69,628,517,322,534,5,19,156,13
"Gugerty, Blake",WISC,25,CF,ML,179,0.32400000000000001,0.39,0.5,756,245,67,3,20,136,94,82,118,32,19,16,0
"Gutierrez, Wilson",MAHO,28,CF,ML,161,0.32200000000000001,0.376,0.39700000000000002,491,158,28,3,1,80,63,43,35,1,2,13,1
"Hairston, Herbert",SCRN,31,LF,ML,948,0.315,0.36299999999999999,0.42499999999999999,3669,1156,195,23,54,504,404,273,487,11,8,141,6
"Halat, George",MIDL,30,3B,ML,798,0.313,0.38,0.48399999999999999,2875,900,174,24,90,453,448,313,452,24,18,65,3
"Hall, Brooks",CHES,27,3B,ML,688,0.316,0.35599999999999998,0.49399999999999999,2889,914,226,4,93,452,460,178,269,0,9,90,7
"Hall, Jaime",TEX,34,RF,ML,1412,0.30099999999999999,0.37,0.55200000000000005,5631,1693,322,24,348,1019,1158,624,1088,1,9,152,8
"Hardison, Alec",LV,35,2B,ML,1601,0.30499999999999999,0.38200000000000001,0.40400000000000003,6106,1865,374,26,59,907,682,754,495,11,15,247,10
"Hart, Owen",ROCK,26,2B,ML,607,0.27500000000000002,0.36699999999999999,0.45500000000000002,2244,618,75,6,105,346,336,324,358,0,3,62,3
"Havens, Bob",AUCK,25,1B,ML,5,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
"Hearn, Scott",SF,26,C,ML,22,0.23799999999999999,0.23799999999999999,0.28599999999999998,21,5,1,0,0,3,2,0,3,0,0,1,0
"Hegstad, Terrance",DAY,33,LF,ML,1378,0.311,0.36299999999999999,0.48,5255,1635,319,45,159,786,797,431,845,79,55,213,9
"Henderson, Montgomery",MIDL,26,3B,ML,182,0.32500000000000001,0.36799999999999999,0.50600000000000001,633,206,50,2,20,95,111,43,70,0,4,20,2
"Henderson, Trey",LAKE,30,SS,ML,982,0.30099999999999999,0.36199999999999999,0.47799999999999998,3913,1179,187,9,162,612,681,373,487,2,7,166,7
"Henry, Sang",ELP,26,CF,ML,143,0.29199999999999998,0.34200000000000003,0.42099999999999999,356,104,17,1,9,48,46,27,46,3,3,9,1
"Herrera, Bob",OKC,31,2B,ML,1232,0.28299999999999997,0.33300000000000002,0.48199999999999998,4772,1350,355,13,189,762,719,361,728,10,9,165,5
"Hessel, Eddie",CHES,30,C,ML,768,0.254,0.30199999999999999,0.439,2502,636,101,26,103,355,346,170,547,0,4,76,2
"Heuman, Paul",TEX,37,LF,ML,2062,0.309,0.35499999999999998,0.48399999999999999,7864,2427,455,14,298,1305,1208,566,1187,255,162,290,8
"Hickman, Mason",NORW,32,C,ML,340,0.25600000000000001,0.317,0.35099999999999998,853,218,27,3,16,94,84,77,160,0,2,38,2
"Hicks, Brian",DAY,27,RF,ML,338,0.27900000000000003,0.33400000000000002,0.50700000000000001,1223,341,35,14,72,196,204,102,297,2,3,26,2
"Hicks, Dale",MAIN,30,1B,ML,453,0.313,0.34300000000000003,0.49199999999999999,1704,533,135,22,42,237,225,79,181,0,3,50,2
"Hicks, Dave",IDA,27,LF,ML,480,0.315,0.35199999999999998,0.48099999999999998,1903,600,113,5,64,273,285,107,196,0,5,81,4
"Hill, George",BANG,30,3B,ML,810,0.28899999999999998,0.35499999999999998,0.436,2854,826,156,8,82,404,372,288,424,23,26,94,9
"Hockey, Johnny",OKC,28,C,ML,924,0.28199999999999997,0.34399999999999997,0.48399999999999999,3265,920,204,23,137,519,504,307,517,42,24,122,7
"Hodges, Julio",OKC,35,RF,ML,1547,0.27700000000000002,0.32800000000000001,0.47699999999999998,5230,1448,211,29,260,766,877,399,1216,119,80,147,7
"Honeywell, Randy",PEOR,27,RF,ML,374,0.33600000000000002,0.36499999999999999,0.44400000000000001,1229,413,66,17,11,185,144,56,89,4,3,61,1
"Hoopii, Pedro",PEOR,26,LF,ML,10,0.48299999999999998,0.5,0.72399999999999998,29,14,2,1,1,5,3,1,0,0,0,1,0
"Hornigold, Benjamin",AUCK,31,3B,ML,1133,0.28299999999999997,0.372,0.50900000000000001,4203,1190,141,6,265,685,770,598,1014,6,8,119,5
"Horsley, Jeffrey",CASP,27,C,ML,111,0.23200000000000001,0.28999999999999998,0.4,185,43,7,0,8,20,26,15,24,0,0,10,0
"Humes, Kimo",OMA,30,LF,ML,467,0.25800000000000001,0.34799999999999998,0.48599999999999999,1472,380,44,3,95,250,270,203,377,6,10,37,2
"Hunter, Charles",NORW,30,1B,ML,991,0.29299999999999998,0.33200000000000002,0.502,3739,1096,381,7,129,566,607,219,543,10,11,147,7
"Idaho, Duncan",NORW,33,1B,ML,1712,0.29499999999999998,0.40100000000000002,0.55600000000000005,6396,1890,345,44,410,1226,1322,1131,1670,12,25,168,14
"Ina, Anderson",IDA,29,CF,ML,581,0.28699999999999998,0.32500000000000001,0.47099999999999997,2012,577,101,4,87,277,297,113,293,1,7,67,5
"Irvin, Leonel",EDMO,28,1B,ML,649,0.28299999999999997,0.37,0.46500000000000002,2347,664,133,6,94,363,346,323,283,3,9,49,4
"Iwanski, Travis",MAHO,29,1B,ML,754,0.29199999999999998,0.37,0.54900000000000004,2767,809,115,10,192,492,561,339,464,0,8,61,7
"Jack, Ray",IDA,32,3B,ML,1144,0.27400000000000002,0.34399999999999997,0.439,4122,1130,187,22,150,590,595,441,934,1,10,134,6
"Jahari, Tanka",RICH,27,2B,ML,517,0.312,0.38700000000000001,0.57299999999999995,1985,620,107,6,133,371,388,240,364,2,4,76,4
"Jaime, Donny",SUGR,30,CF,ML,733,0.314,0.38100000000000001,0.39200000000000002,2661,836,198,5,0,383,244,289,256,41,28,100,3
"Jasmin, Willy",ROME,28,C,ML,436,0.32900000000000001,0.36399999999999999,0.52500000000000002,1637,538,103,6,69,255,289,90,188,6,12,62,2
"Jax, Ryan",ERIE,27,C,ML,154,0.316,0.35399999999999998,0.46899999999999997,618,195,37,2,18,99,92,37,96,0,0,18,0
"Jetski, Dwayne",ELP,26,RF,ML,129,0.27100000000000002,0.34799999999999998,0.435,421,114,17,2,16,61,47,50,61,1,1,8,0
"Jinwoo, Sung",SF,30,1B,ML,1376,0.315,0.40200000000000002,0.61499999999999999,5113,1610,304,15,400,1061,1108,746,713,6,6,141,6
"Joe, Aroma",ELP,24,1B,ML,143,0.29099999999999998,0.35199999999999998,0.45300000000000001,530,154,38,0,16,79,74,50,79,0,1,8,0
"Johnson, Fairweather",MIDL,28,RF,ML,397,0.28799999999999998,0.313,0.35399999999999998,565,163,27,5,0,102,71,20,105,61,23,13,1
"Johnson, Josh",LV,25,SS,ML,67,0.221,0.27600000000000002,0.35399999999999998,195,43,12,1,4,29,25,15,36,1,0,9,0
"Johnson, Nasir",SCRN,33,RF,ML,1445,0.30599999999999999,0.372,0.57699999999999996,5528,1693,449,34,327,937,1054,579,755,0,20,172,18
"Johnson, Vincent",EDMO,26,C,ML,68,0.27700000000000002,0.36199999999999999,0.47,166,46,8,0,8,30,27,22,32,1,1,5,0
"Johnston, Dan",SUGR,27,RF,ML,94,0.23200000000000001,0.28799999999999998,0.29899999999999999,177,41,9,0,1,22,19,14,44,0,0,4,0
"Jones, Alexander",ELP,27,C,ML,69,0.31,0.375,0.379,87,27,4,1,0,10,13,9,11,0,0,1,0
"Jones, Bryce",IDA,29,C,ML,266,0.25700000000000001,0.30299999999999999,0.46700000000000003,758,195,42,0,39,97,104,50,168,0,1,32,1
"Jones, Hollis",OMA,27,1B,ML,181,0.28100000000000003,0.36199999999999999,0.39100000000000001,540,152,27,4,8,79,75,68,43,0,2,22,0
"Kelly, Seth",TEX,36,3B,ML,1325,0.28000000000000003,0.33200000000000002,0.39400000000000002,4644,1302,283,31,61,637,578,357,456,13,22,264,8
